,제목,관객수,매출액,연도
0,부산행,11545582,93016914348,2016
1,검사외전,9637945,76792567364,2016
2,캡틴 아메리카: 시빌 워,8659536,72524648027,2016
3,밀정,7468963,61019395031,2016
4,터널,7095125,57317888117,2016
5,인천상륙작전,7041005,55044541503,2016
6,럭키,6965010,56366525556,2016
7,곡성,6850063,55619482282,2016
8,덕혜옹주,5563041,44105396009,2016
9,닥터 스트레인지,5441157,47437201396,2016
10,마스터,4934186,39773301065,2016
11,신비한 동물사전,4656428,39246027558,2016
12,주토피아,4557492,36022903442,2016
13,판도라,4309969,33924666164,2016
14,아가씨,4250510,34908349591,2016
15,쿵푸팬더3,3933477,30951565656,2016
16,귀향,3330158,25385769092,2016
17,데드풀,3212637,26752234051,2016
18,나우 유 씨 미 2,3085070,24990026313,2016
19,형,2964822,22994830493,2016
20,엑스맨: 아포칼립스,2930429,24396011950,2016
21,미스 페레그린과 이상한 아이들의 집,2705350,21738420886,2016
22,히말라야,2622225,20645546267,2016
23,아수라,2586217,20523436162,2016
24,도리를 찾아서,2575540,20507400233,2016
25,제이슨 본,2567939,20895979263,2016
26,정글북,2516664,21348549634,2016
27,마이펫의 이중생활,2498470,19251265455,2016
28,라라랜드,2384782,19993531232,2016
29,배트맨 대 슈퍼맨: 저스티스의 시작,2244106,18801003628,2016
30,굿바이 싱글,2083378,16708709495,2016
31,봉이 김선달,2027512,16049525442,2016
32,레버넌트: 죽음에서 돌아온 자,1977354,15867262430,2016
33,컨저링 2,1911058,15614285629,2016
34,내부자들: 디 오리지널,1904362,15576841860,2016
35,수어사이드 스쿼드,1879841,15716342588,2016
36,인디펜던스 데이 : 리써전스,1497000,12742781740,2016
37,탐정 홍길동: 사라진 마을,1424037,11465140345,2016
38,벤허,1383215,11274091695,2016
39,굿 다이노,1320596,9699218738,2016
40,셜록: 유령신부,1273087,9948563049,2016
41,특별수사: 사형수의 편지,1210487,9678330865,2016
42,시간이탈자,1199331,9708630195,2016
43,워크래프트: 전쟁의 서막,1152235,10044114405,2016
44,미씽: 사라진 여자,1147938,8841178756,2016
45,스타트렉 비욘드,1131096,9958941720,2016
46,"당신, 거기 있어줄래요",1120729,8964807248,2016
47,동주,1087182,8276705689,2016
48,라이트 아웃,1079142,8631235475,2016
49,씽,1059675,8177703789,2016
50,"날, 보러와요",1054267,8770217890,2016
51,오빠생각,1049722,7901220987,2016
52,맨 인 더 다크,995389,8413605472,2016
53,"고산자, 대동여지도",951687,7636946558,2016
54,미 비포 유,913929,7404656590,2016
55,매그니피센트 7,913170,7573579821,2016
56,갓 오브 이집트,912240,7558414924,2016
57,레전드 오브 타잔,851649,7136602117,2016
58,좋아해줘,812223,6299189437,2016
59,브리짓 존스의 베이비,806234,6559724674,2016
60,스플릿,751864,6053064039,2016
61,런던 해즈 폴른,718625,5810309679,2016
62,인페르노,678255,5568097903,2016
63,앵그리버드 더 무비,664020,5098525044,2016
64,국가대표 2,660841,5119724642,2016
